start_ts,end_ts,flow,avg_flow,std,pred
2016-01-05 03:34:02,2016-01-05 04:04:33,163,2.716666666666667,1.86271904007,2.6586093172223135
2016-01-05 04:05:03,2016-01-05 04:34:32,167,2.783333333333333,1.80823732464,3.637155417193057
2016-01-05 04:35:02,2016-01-05 05:04:34,216,3.6,2.15406592285,4.735282791963352
2016-01-05 05:05:03,2016-01-05 05:34:32,406,6.766666666666667,3.29831606868,7.416137679307708
2016-01-05 05:35:02,2016-01-05 06:04:32,606,10.1,4.35392543191,8.31592418556068
2016-01-05 06:05:02,2016-01-05 06:34:32,1012,16.866666666666667,6.25690729425,15.296749558216924
2016-01-05 06:35:03,2016-01-05 07:04:34,1386,23.1,5.51271258094,19.435869136402108
2016-01-05 07:05:02,2016-01-05 07:34:33,1738,28.966666666666665,7.24100975156,29.108406725609708
2016-01-05 07:35:02,2016-01-05 08:04:32,1739,28.983333333333334,7.91094530101,24.118469493283943
2016-01-05 08:05:03,2016-01-05 08:34:33,1703,28.383333333333333,6.69848656207,25.163417058004477
2016-01-05 08:35:03,2016-01-05 09:04:34,1423,23.716666666666665,6.7948305514,22.591465376283136
2016-01-05 09:05:03,2016-01-05 09:34:32,1257,20.95,6.25146649462,21.142441145961673
2016-01-05 09:35:03,2016-01-05 10:04:33,1136,18.933333333333334,6.25797269267,21.80519422119382
2016-01-05 10:05:03,2016-01-05 10:34:34,1274,21.233333333333334,6.53545883793,17.72099117309867
2016-01-05 10:35:04,2016-01-05 11:04:33,1226,20.433333333333334,5.43558235662,18.898582004445046
2016-01-05 11:05:04,2016-01-05 11:34:35,1227,20.45,5.61671612243,18.816924129933657
2016-01-05 11:35:02,2016-01-05 12:04:32,1360,22.666666666666668,6.65248491585,19.997411606672422
2016-01-05 12:05:02,2016-01-05 12:34:32,1520,25.333333333333332,6.80359382157,29.16504397336158
2016-01-05 12:35:02,2016-01-05 13:04:33,1415,23.583333333333332,7.23485007139,27.981579636491773
2016-01-05 13:05:03,2016-01-05 13:34:34,1444,24.066666666666666,7.18532455,27.67474165859427
2016-01-05 13:35:02,2016-01-05 14:04:34,1531,25.516666666666666,7.3835214423,25.53522127095165
2016-01-05 14:05:02,2016-01-05 14:34:32,1770,29.5,8.83836334774,33.672011969236365
2016-01-05 14:35:02,2016-01-05 15:04:33,1904,31.733333333333334,8.02052921501,28.877604864768337
